Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Country Code
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2122,Sheep,2017,2017,Head,9850,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2122,Sheep,2018,2018,Head,2462,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2122,Sheep,2019,2019,Head,1797,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2122,Sheep,2020,2020,Head,633,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2122,Sheep,2021,2021,Head,9011,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2122,Sheep,2006,2006,1000 US$,250,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2122,Sheep,2007,2007,1000 US$,4,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2122,Sheep,2008,2008,1000 US$,540,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2122,Sheep,2009,2009,1000 US$,269,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2122,Sheep,2010,2010,1000 US$,165,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2122,Sheep,2011,2011,1000 US$,171,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2122,Sheep,2012,2012,1000 US$,283,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2122,Sheep,2013,2013,1000 US$,256,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2122,Sheep,2014,2014,1000 US$,263,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2122,Sheep,2015,2015,1000 US$,258,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2122,Sheep,2016,2016,1000 US$,342,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2122,Sheep,2017,2017,1000 US$,1292,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2122,Sheep,2018,2018,1000 US$,345,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2122,Sheep,2019,2019,1000 US$,266,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2122,Sheep,2020,2020,1000 US$,277,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5922,Export Value,2122,Sheep,2021,2021,1000 US$,1295,A,Official figure,BE
TCL,Crops and livestock products,100,Bulgaria,5908,Export Quantity,2111,Cattle,2006,2006,Head,70143,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5908,Export Quantity,2111,Cattle,2007,2007,Head,59664,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5908,Export Quantity,2111,Cattle,2008,2008,Head,59219,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5908,Export Quantity,2111,Cattle,2009,2009,Head,52159,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5908,Export Quantity,2111,Cattle,2010,2010,Head,41193,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5908,Export Quantity,2111,Cattle,2011,2011,Head,28151,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5908,Export Quantity,2111,Cattle,2012,2012,Head,28071,A,Official figure,BG
