Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Country Code
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2122,Sheep,2019,2019,1000 US$,5260,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2122,Sheep,2020,2020,1000 US$,5941,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2122,Sheep,2021,2021,1000 US$,10007,A,Official figure,BE
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2111,Cattle,2006,2006,Head,2107,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2111,Cattle,2007,2007,Head,2637,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2111,Cattle,2008,2008,Head,4094,T,Unofficial figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2111,Cattle,2009,2009,Head,1630,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2111,Cattle,2010,2010,Head,3234,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2111,Cattle,2011,2011,Head,1577,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2111,Cattle,2012,2012,Head,588,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2111,Cattle,2013,2013,Head,943,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2111,Cattle,2014,2014,Head,1286,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2111,Cattle,2015,2015,Head,6593,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2111,Cattle,2016,2016,Head,8697,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2111,Cattle,2017,2017,Head,11487,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2111,Cattle,2018,2018,Head,7185,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2111,Cattle,2019,2019,Head,6885,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2111,Cattle,2020,2020,Head,3751,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5608,Import Quantity,2111,Cattle,2021,2021,Head,3656,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2111,Cattle,2006,2006,1000 US$,3997,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2111,Cattle,2007,2007,1000 US$,5557,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2111,Cattle,2008,2008,1000 US$,9393,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2111,Cattle,2009,2009,1000 US$,2642,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2111,Cattle,2010,2010,1000 US$,7028,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2111,Cattle,2011,2011,1000 US$,3712,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2111,Cattle,2012,2012,1000 US$,1206,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2111,Cattle,2013,2013,1000 US$,2027,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2111,Cattle,2014,2014,1000 US$,3070,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2111,Cattle,2015,2015,1000 US$,5278,A,Official figure,BG
TCL,Crops and livestock products,100,Bulgaria,5622,Import Value,2111,Cattle,2016,2016,1000 US$,12051,A,Official figure,BG
