,Domain,Area,Element,Item,Year,Unit,Value,Flag Description,Country Code
244,Crops and livestock products,Croatia,Export Value,Sheep,2010,1000 US$,37,Official figure,HR
245,Crops and livestock products,Croatia,Export Value,Sheep,2011,1000 US$,49,Official figure,HR
246,Crops and livestock products,Croatia,Export Value,Sheep,2012,1000 US$,291,Official figure,HR
247,Crops and livestock products,Croatia,Export Value,Sheep,2013,1000 US$,611,Official figure,HR
248,Crops and livestock products,Croatia,Export Value,Sheep,2014,1000 US$,1781,Official figure,HR
249,Crops and livestock products,Croatia,Export Value,Sheep,2015,1000 US$,2910,Official figure,HR
250,Crops and livestock products,Croatia,Export Value,Sheep,2016,1000 US$,5668,Official figure,HR
251,Crops and livestock products,Croatia,Export Value,Sheep,2017,1000 US$,10604,Official figure,HR
252,Crops and livestock products,Croatia,Export Value,Sheep,2018,1000 US$,11269,Official figure,HR
253,Crops and livestock products,Croatia,Export Value,Sheep,2019,1000 US$,5143,Official figure,HR
254,Crops and livestock products,Croatia,Export Value,Sheep,2020,1000 US$,7399,Official figure,HR
255,Crops and livestock products,Croatia,Export Value,Sheep,2021,1000 US$,7525,Official figure,HR
372,Crops and livestock products,Denmark,Export Quantity,Cattle,2006,Head,12688,Official figure,DK
373,Crops and livestock products,Denmark,Export Quantity,Cattle,2007,Head,9169,Unofficial figure,DK
374,Crops and livestock products,Denmark,Export Quantity,Cattle,2008,Head,4869,Official figure,DK
375,Crops and livestock products,Denmark,Export Quantity,Cattle,2009,Head,10678,Official figure,DK
376,Crops and livestock products,Denmark,Export Quantity,Cattle,2010,Head,14833,Official figure,DK
377,Crops and livestock products,Denmark,Export Quantity,Cattle,2011,Head,28193,Official figure,DK
378,Crops and livestock products,Denmark,Export Quantity,Cattle,2012,Head,56176,Official figure,DK
379,Crops and livestock products,Denmark,Export Quantity,Cattle,2013,Head,60555,Official figure,DK
380,Crops and livestock products,Denmark,Export Quantity,Cattle,2014,Head,70002,Official figure,DK
381,Crops and livestock products,Denmark,Export Quantity,Cattle,2015,Head,60832,Official figure,DK
382,Crops and livestock products,Denmark,Export Quantity,Cattle,2016,Head,81292,Official figure,DK
383,Crops and livestock products,Denmark,Export Quantity,Cattle,2017,Head,89171,Official figure,DK
384,Crops and livestock products,Denmark,Export Quantity,Cattle,2018,Head,98579,Official figure,DK
385,Crops and livestock products,Denmark,Export Quantity,Cattle,2019,Head,117808,Official figure,DK
386,Crops and livestock products,Denmark,Export Quantity,Cattle,2020,Head,97550,Official figure,DK
387,Crops and livestock products,Denmark,Export Quantity,Cattle,2021,Head,77958,Official figure,DK
388,Crops and livestock products,Denmark,Export Value,Cattle,2006,1000 US$,16962,Official figure,DK
389,Crops and livestock products,Denmark,Export Value,Cattle,2007,1000 US$,21100,Official figure,DK
390,Crops and livestock products,Denmark,Export Value,Cattle,2008,1000 US$,7613,Official figure,DK
391,Crops and livestock products,Denmark,Export Value,Cattle,2009,1000 US$,5621,Official figure,DK
392,Crops and livestock products,Denmark,Export Value,Cattle,2010,1000 US$,6636,Official figure,DK
393,Crops and livestock products,Denmark,Export Value,Cattle,2011,1000 US$,24733,Official figure,DK
